UID,Company Name,Ticker,Halal Status
8,Taiwan Semiconductor Manufacturing Company Ltd.,TSM,Comfortable
9,Eli Lilly and Company,LLY,Comfortable
11,Tesla Inc,TSLA,Comfortable
15,Visa,V,Comfortable
16,Exxon Mobil Corporation,XOM,Comfortable
18,Procter & Gamble Company (The),PG,Comfortable
19,Johnson & Johnson,JNJ,Comfortable
22,Home Depot Inc. (The),HD,Comfortable
23,ASML Holding,ASML,Comfortable
24,AbbVie,ABBV,Comfortable
27,Netflix,NFLX,Comfortable
28,Merck & Company Inc.,MRK,Comfortable
29,Chevron Corporation,CVX,Comfortable
30,Adobe Inc.,ADBE,Comfortable
31,Salesforce Inc.,CRM,Comfortable
32,Novartis AG - ADR,NVS,Comfortable
36,T-Mobile US,TMUS,Comfortable
37,Linde,LIN,Comfortable
41,Abbott Laboratories,ABT,Comfortable
43,QUALCOMM Incorporated,QCOM,Comfortable
45,Danaher Corporation,DHR,Comfortable
47,General Electric,GE,Comfortable
52,ServiceNow Inc.,NOW,Comfortable
54,Intuitive Surgical Inc.,ISRG,Comfortable
59,Pfizer Inc.,PFE,Comfortable
62,Applied Materials,AMAT,Comfortable
69,Lowe's,LOW,Comfortable
70,Stryker Corporation,SYK,Comfortable
71,Lockheed Martin,LMT,Comfortable
74,TJX Companies,TJX,Comfortable
75,ConocoPhillips,COP,Comfortable
77,Regeneron Pharmaceuticals Inc.,REGN,Comfortable
79,Vertex Pharmaceuticals Incorporated,VRTX,Comfortable
80,Nike,NKE,Comfortable
81,Eaton Corporation,ETN,Comfortable
82,Boston Scientific,BSX,Comfortable
86,Palo Alto Networks Inc.,PANW,Comfortable
89,Medtronic,MDT,Comfortable
90,Automatic Data Processing,ADP,Comfortable
92,Arista Networks Inc.,ANET,Comfortable
94,United Parcel Service,UPS,Comfortable
95,Starbucks,SBUX,Comfortable
97,Lam Research,LRCX,Comfortable
98,Micron Technology Inc.,MU,Comfortable
102,Bristol-Myers Squibb,BMY,Comfortable
104,Gilead Sciences,GILD,Comfortable
105,Mondelez International,MDLZ,Comfortable
106,Shopify Inc.,SHOP,Comfortable
109,Sherwin-Williams,SHW,Comfortable
114,Colgate-Palmolive,CL,Comfortable
